id,name
101,ボウル
102,バット
103,耐熱皿・器
201,ざる
202,まな板
203,ミキサーの容器
204,流し型
301,鍋（蓋を含む）
302,フライパン（蓋を含む）
303,蒸し器
304,炊飯器の内釜
305,オーブンの天板
306,落とし蓋
401,包丁
402,料理ばさみ
403,スライサー（受け皿なし）
404,ピーラー
501,泡だて器
502,耐熱ゴムべら
503,木製へら
504,菜箸
505,スプーン
506,しゃもじ
601,おたま
602,網目の細かい網杓子
603,網目の粗い網杓子
604,フライ返し
701,ミキサー本体
702,おろし器（受け皿なし）
703,裏漉し器（受け皿なし）
704,味噌漉し
705,ふるい
801,めん棒
802,刷毛
803,製菓用パレットナイフ
901,巻き簀
902,串
903,抜き型
1001,台秤
1002,計量カップ
1003,計量スプーン
1004,温度計
1101,クッキングペーパー
1102,クッキングシート
1103,ラップフィルム
1104,アルミホイル
1201,製菓用スケッパー
1202,フォーク
